match_id,pitch,players_a,players_b,true_team_a_strength,true_team_b_strength,true_probability_a,goals_a,goals_b
164,hf,"4,34,3,5,43,48","1,27,9,15,45,10",1529.973,1599.717,0.400958,10,9
165,box,"43,40,31,48,32,2","1,35,36,27,42,45",1417.772,1468.433,0.427604,6,8
166,box,"44,28,12,7,45,34","10,16,13,43,17,23",1467.657,1558.183,0.372592,7,10
167,box,"37,16,45,15,20,6","42,3,43,26,25,38",1522.998,1489.202,0.548484,6,10
168,box,"28,42,22,37,7,34","3,15,14,45,31,18",1500.778,1561.422,0.413603,10,4
169,hf,"3,12,21,2,14,38","10,26,5,20,11,37",1654.873,1596.877,0.582697,11,10
170,box,"22,25,9,45,6,33","23,4,7,28,15,5",1534.858,1658.557,0.329143,1,10
171,hf,"21,2,41,18,29,32","15,23,36,25,28,12",1560.653,1551.728,0.512841,8,12
172,box,"16,46,5,6,18,10","25,41,43,42,21,24",1586.03,1442.405,0.695672,11,6
173,box,"18,7,9,6,12,28","29,36,41,33,27,47",1641.738,1398.22,0.80247,12,7
174,box,"21,25,1,19,27,47","6,36,16,37,34,11",1538.358,1542.207,0.494462,8,10
175,box,"11,28,18,27,20,31","5,24,17,16,32,13",1562.54,1601.305,0.444443,6,9
176,box,"25,22,29,47,28,42","39,9,20,21,13,31",1432.782,1556.027,0.329719,5,13
177,hf,"45,41,32,37,16,21","25,18,26,24,8,48",1439.473,1498.102,0.416419,14,10
178,box,"2,47,30,14,29,19","5,27,32,9,20,16",1526.945,1603.425,0.39168,8,12
179,hf,"29,39,31,38,26,35","33,27,43,3,24,40",1456.15,1508.113,0.425771,8,11
180,box,"43,23,11,42,40,3","37,26,22,28,7,1",1504.778,1604.67,0.360079,9,13
181,box,"45,37,15,29,24,26","30,38,33,10,23,2",1474.65,1575.327,0.359038,10,12
182,hf,"47,10,23,20,22,30","14,34,31,46,40,7",1496.78,1471.855,0.535809,10,9
183,box,"46,8,2,22,42,7","11,16,34,12,36,44",1559.097,1505.828,0.576064,10,7
184,box,"12,41,43,28,26,2","40,13,29,38,45,25",1528.617,1443.553,0.620027,11,8
185,hf,"5,37,7,35,12,24","21,13,30,8,17,32",1577.99,1575.688,0.503312,5,6
186,box,"38,8,23,46,30,40","12,20,43,48,6,9",1449.883,1492.498,0.438978,10,7
187,box,"25,27,39,9,37,48","28,12,32,35,41,36",1435.383,1472.547,0.446721,13,10
188,hf,"23,1,32,9,13,25","36,33,46,27,40,39",1631.258,1394.692,0.79605,12,7
189,hf,"37,2,15,19,3,18","46,35,45,11,30,48",1648.122,1342.507,0.853117,11,4
190,hf,"8,37,48,18,35,24","44,3,29,42,14,28",1456.443,1517.382,0.413191,7,5
191,box,"3,29,17,23,6,47","8,16,14,38,45,28",1554.657,1510.962,0.562553,10,7
192,hf,"23,35,18,39,47,11","21,19,41,37,46,33",1452.975,1434.46,0.52662,10,16
193,hf,"27,4,18,42,9,44","16,10,21,45,26,32",1534.017,1514.497,0.528062,7,6
194,hf,"5,41,6,26,33,18","24,30,32,21,38,1",1565.023,1565.503,0.499309,10,15
195,box,"41,43,45,23,5,35","26,14,28,48,32,18",1428.542,1470.127,0.440439,7,6
196,hf,"22,44,4,3,7,41","30,2,8,11,29,42",1588.982,1587.415,0.502255,12,10
197,box,"9,42,20,11,18,6","47,24,17,43,41,45",1592.875,1350.89,0.801067,8,4
198,box,"28,42,6,7,1,14","31,5,9,38,15,34",1630.652,1561.382,0.598387,3,5
199,box,"28,45,9,31,5,15","25,6,7,40,21,24",1542.41,1576.907,0.450518,3,10
200,hf,"44,10,5,34,37,1","40,11,29,23,14,47",1568.403,1468.858,0.639461,8,6
201,box,"14,6,7,9,8,38","25,23,28,21,45,16",1634.783,1508.428,0.674225,12,7
202,box,"39,19,45,2,43,20","14,34,48,33,13,26",1483.825,1464.073,0.528394,10,3
203,hf,"8,16,32,41,39,5","34,1,24,21,9,25",1538.885,1619.917,0.385455,6,7
204,hf,"44,12,31,5,2,38","45,1,17,14,3,4",1559.602,1661.565,0.357335,8,10
205,hf,"46,33,27,28,26,6","41,35,42,10,18,43",1497.673,1441.547,0.580077,13,10
206,box,"35,21,26,38,41,42","43,5,20,28,16,4",1436.778,1589.888,0.292894,6,11
207,hf,"4,20,43,46,12,8","1,9,42,11,32,23",1532.897,1600.098,0.404477,6,8
208,box,"9,18,8,2,22,28","47,34,5,17,37,40",1652.015,1440.667,0.771468,11,6
209,box,"11,24,48,17,7,37","8,15,33,1,3,39",1498.855,1646.947,0.298912,6,10
210,box,"3,36,46,42,27,15","21,16,44,45,18,5",1490.543,1498.14,0.489069,5,10
211,box,"34,3,26,5,30,19","20,21,6,36,44,1",1606.468,1572.977,0.54805,10,3
212,box,"24,38,32,13,35,16","10,1,27,2,15,44",1517.568,1634.84,0.337363,3,8
213,box,"1,43,25,20,7,14","34,16,27,32,4,10",1604.992,1592.215,0.518379,4,10
214,hf,"45,24,30,6,38,7","33,9,26,5,44,37",1513.723,1515.113,0.498,10,8
215,box,"21,26,45,48,46,29","18,15,5,13,9,7",1352.61,1658.292,0.146835,8,16
216,box,"35,23,14,29,20,30","17,8,6,11,44,3",1534.638,1624.99,0.372827,5,10
217,box,"23,26,33,4,44,20","17,12,2,47,29,36",1538.543,1518.763,0.528435,7,10
218,hf,"1,4,15,9,13,26","24,41,6,38,39,17",1690.138,1500.108,0.749116,21,10
219,box,"13,42,29,9,6,22","8,3,30,4,11,37",1572.997,1646.043,0.396399,4,10
220,box,"28,12,23,14,47,18","43,29,10,3,16,19",1507.17,1583.957,0.39126,4,10
221,hf,"25,9,27,13,42,34","16,41,35,2,48,23",1530.208,1477.442,0.575359,10,9
222,hf,"21,25,18,12,2,48","39,15,44,46,4,31",1544.58,1457.675,0.622522,4,0
223,hf,"11,7,16,43,46,18","35,4,15,37,25,23",1507.633,1560.983,0.423821,8,11
224,box,"21,45,23,38,2,46","37,42,10,41,13,32",1470.248,1476.79,0.490587,6,10
225,hf,"2,34,31,1,22,40","13,9,44,12,21,4",1599.968,1597.773,0.503159,9,5
226,hf,"34,24,5,47,43,26","38,7,22,20,21,9",1444.12,1588.23,0.303737,5,9
227,hf,"41,32,42,21,12,36","40,23,15,38,44,25",1465.297,1457.41,0.511348,12,9
228,box,"45,37,26,47,3,12","39,21,40,15,48,7",1454.242,1449.248,0.507185,5,6
229,box,"11,41,6,43,47,22","29,1,17,14,16,5",1443.435,1660.302,0.22298,3,10
230,hf,"29,47,27,11,46,32","25,23,35,42,7,31",1414.178,1510.678,0.36459,5,6
231,box,"15,11,29,5,3,19","2,21,17,7,45,22",1657.568,1587.38,0.599657,5,3
232,box,"6,22,39,40,31,2","28,11,46,42,41,4",1557.563,1479.29,0.610777,10,7
233,hf,"47,48,35,17,43,19","20,16,7,4,26,37",1342.532,1607.072,0.179047,7,12
234,box,"1,28,6,19,43,41","39,31,13,7,2,14",1556.182,1611.178,0.421508,13,8
235,box,"26,31,32,43,17,6","42,35,25,12,24,40",1513.125,1476.832,0.552041,10,8
236,hf,"18,37,4,10,43,7","6,23,35,27,38,15",1576.015,1541.348,0.549724,5,8
237,hf,"35,44,31,37,16,46","20,6,26,3,33,45",1398.057,1560.762,0.281587,4,9
238,hf,"40,10,8,29,12,11","14,13,9,3,28,6",1585.667,1668.495,0.383008,10,11
239,hf,"41,10,39,17,21,5","6,25,36,26,40,44",1551.415,1470.398,0.614524,7,6
240,hf,"1,45,40,38,34,27","8,43,10,46,37,7",1474.217,1492.2,0.474143,8,11
241,box,"35,23,27,17,25,42","32,37,39,31,3,12",1501.183,1536.568,0.449252,10,4
242,hf,"22,45,16,4,31,18","24,2,48,20,39,43",1545.893,1454.258,0.628898,10,5
243,hf,"15,9,20,29,21,18","27,39,6,13,45,14",1594.915,1514.578,0.613596,9,8
244,box,"34,24,4,33,11,5","20,45,26,9,48,37",1615.673,1414.713,0.760754,16,10
245,hf,"16,3,30,4,24,13","18,44,46,33,26,8",1654.82,1459.338,0.754967,14,9
246,box,"29,12,31,38,36,23","43,11,17,6,19,2",1502.83,1613.317,0.346149,8,12
247,hf,"15,42,48,44,14,18","47,27,33,2,1,31",1414.493,1553.52,0.309961,5,7
248,box,"1,15,17,39,20,42","18,28,25,23,30,46",1565.755,1488.123,0.609898,10,8
249,box,"38,7,1,33,43,24","36,39,41,19,20,47",1552.102,1403.36,0.701872,11,7
250,hf,"18,17,42,46,20,13","10,34,16,4,26,21",1490.303,1609.037,0.335484,4,7
251,hf,"19,17,27,26,25,3","38,37,13,22,15,35",1607.032,1507.255,0.639769,9,8
252,hf,"23,33,20,11,43,36","12,19,7,31,9,17",1497.652,1615.19,0.337019,5,6
253,hf,"44,22,42,6,15,23","48,20,27,47,24,17",1509.288,1407.282,0.642722,9,7
254,box,"4,41,38,46,40,5","31,13,33,8,25,34",1474.097,1546.66,0.397065,7,12
255,box,"13,22,27,37,30,10","21,12,6,32,47,41",1548.398,1474.278,0.605078,11,7
256,box,"11,37,48,32,6,9","40,28,41,26,42,31",1498.953,1429.403,0.598775,11,8
257,hf,"21,34,13,2,44,1","41,16,15,23,20,9",1609.725,1567.753,0.56011,10,8
258,box,"3,20,19,30,34,39","44,22,28,9,41,32",1557.018,1478.882,0.610589,15,11
259,hf,"26,2,15,46,9,14","47,38,33,11,8,24",1584.835,1480.38,0.645952,9,5
260,box,"41,17,35,40,4,39","44,7,2,42,8,27",1485.223,1561.263,0.392284,7,11
261,box,"14,45,44,41,1,20","27,7,34,18,9,42",1487.008,1550.65,0.409423,5,10
262,box,"7,32,13,39,46,17","34,44,23,27,19,11",1499.265,1510.687,0.483569,12,10
263,hf,"1,48,43,6,8,37","32,10,45,33,5,7",1504.272,1547.2,0.438534,8,9
264,hf,"17,30,4,7,12,3","19,24,21,28,8,45",1678.058,1527.79,0.703707,11,7
265,box,"9,43,42,11,22,23","29,40,18,6,24,44",1515.083,1499.11,0.522971,10,6
266,hf,"31,27,42,11,8,9","4,45,7,47,38,48",1561.607,1381.543,0.73818,10,6
267,hf,"25,23,40,2,44,9","31,32,8,27,29,3",1543.925,1589.213,0.435191,13,7
268,hf,"34,37,47,15,43,22","48,42,40,7,28,16",1404.333,1432.092,0.460137,6,7
269,box,"36,40,4,1,42,11","33,31,32,43,5,47",1574.477,1424.447,0.703421,11,7
270,box,"36,42,25,26,16,6","30,29,37,41,43,32",1524.812,1418.677,0.64816,13,8
271,hf,"7,26,27,3,36,44","1,6,39,20,33,43",1548.407,1552.727,0.493783,9,6
272,box,"4,15,30,22,36,40","39,31,24,29,8,7",1541.165,1555.735,0.479044,9,10
273,box,"19,36,34,24,7,3","11,32,9,27,44,17",1596.562,1534.688,0.588113,5,10
274,box,"13,46,22,7,27,3","41,38,8,29,30,33",1580.628,1485.713,0.633294,10,6
275,box,"28,38,31,33,12,47","44,9,7,25,21,45",1436.542,1499.33,0.410611,4,10
276,hf,"26,22,19,29,9,44","27,39,33,20,36,21",1525.735,1495.907,0.542821,6,7
277,hf,"40,46,19,44,23,9","42,12,33,35,21,8",1443.42,1522.957,0.387496,6,7
278,box,"43,46,27,44,35,19","28,1,34,7,2,25",1382.523,1662.728,0.166174,5,11
279,box,"11,19,44,17,10,4","47,14,35,3,23,29",1596.472,1512.22,0.618926,9,4
280,hf,"48,42,36,25,16,33","19,4,45,40,27,21",1408.468,1512.608,0.354463,8,14
281,box,"13,40,29,15,41,42","24,38,35,39,48,44",1464.653,1349.673,0.659682,14,9
282,box,"12,33,8,25,3,28","18,36,17,9,11,40",1619.542,1549.81,0.599026,9,6
283,hf,"39,4,41,40,43,20","32,37,36,23,5,21",1458.717,1530.203,0.39855,6,11
284,box,"33,11,27,35,45,26","6,23,15,14,22,38",1473.628,1581.225,0.349923,9,13
285,hf,"36,42,1,8,43,23","29,16,40,41,3,21",1527.947,1540.913,0.481348,10,8
286,box,"47,19,2,34,24,33","43,29,32,3,48,13",1506.502,1467.445,0.555971,14,9
